ORDERID,PRODUCTID,CUSTOMERID,UNITPRICE,QUANTITY,NETSALES,UNITCOST
502,19,104,500,20,8200,375
502,50,104,500,226,92660,375
522,19,119,500,19,7790,375
526,27,82,500,37,15170,375
529,19,120,500,38,15580,375
531,19,67,500,28,11480,375
533,19,103,500,28,11480,375
546,34,53,500,143,58630,375
549,19,102,500,33,13530,375
563,19,50,500,21,8610,375
564,19,60,500,23,9430,375
572,50,42,500,337,138170,375
579,27,118,500,62,25420,375
582,19,26,500,26,10660,375
584,6,62,500,327,134070,375
596,50,74,500,329,134890,375
603,19,37,500,31,12710,375
606,19,15,500,28,11480,375
606,50,15,500,309,126690,375
607,50,32,500,585,239850,375
611,19,44,500,32,13120,375
623,19,18,500,20,8200,375
624,19,23,500,26,10660,375
628,19,4,500,48,19680,375
632,19,26,500,27,11070,375
634,19,55,500,31,12710,375
637,54,67,500,301,123410,375
644,19,71,500,43,17630,375
653,54,9,500,315,129150,375
658,19,88,500,25,10250,375
661,54,115,500,203,83230,375
669,19,105,500,24,9840,375
669,54,105,500,259,106190,375
676,19,69,500,19,7790,375
689,50,59,500,418,171380,375
690,19,65,500,59,24190,375
691,50,75,500,443,181630,375
693,19,108,500,24,9840,375
696,19,49,500,35,14350,375
704,50,5,500,664,272240,375
709,19,106,500,30,12300,375
714,19,82,500,22,9020,375
718,50,29,500,230,94300,375
721,19,30,500,21,8610,375
722,54,77,500,221,90610,375
728,19,117,500,38,15580,375
740,50,54,500,205,84050,375
742,6,44,500,83,34030,375
748,19,16,500,22,9020,375
752,50,32,500,619,253790,375
758,19,79,500,33,13530,375
761,50,9,500,303,124230,375
766,19,105,500,22,9020,375
774,19,119,500,24,9840,375
775,27,17,500,28,11480,375
775,54,17,500,205,84050,375
784,19,81,500,39,15990,375
794,19,55,500,34,13940,375
797,50,22,500,205,84050,375
800,19,45,500,20,8200,375
804,19,61,500,47,19270,375
806,50,85,500,297,121770,375
814,34,9,500,118,48380,375
814,54,9,500,314,128740,375
817,19,28,500,33,13530,375
819,19,80,500,33,13530,375
829,34,54,500,79,32390,375
835,19,44,500,32,13120,375
842,19,48,500,20,8200,375
843,6,50,500,54,22140,375
843,19,50,500,22,9020,375
843,54,50,500,102,41820,375
847,19,104,500,25,10250,375
848,6,112,500,74,30340,375
861,19,120,500,47,19270,375
862,50,17,500,210,86100,375
871,19,35,500,68,27880,375
876,19,16,500,23,9430,375
891,19,58,500,36,14760,375
892,19,66,500,19,7790,375
895,19,99,500,20,8200,375
900,50,104,500,289,118490,375
901,50,11,500,338,138580,375
902,19,60,500,26,10660,375
903,50,27,500,363,148830,375
911,19,54,500,21,8610,375
914,19,108,500,26,10660,375
924,19,116,500,42,17220,375
941,19,10,500,20,8200,375
942,50,66,500,209,85690,375
945,19,117,500,30,12300,375
946,19,118,500,43,17630,375
948,50,13,500,315,129150,375
951,19,77,500,25,10250,375
957,19,21,500,21,8610,375
965,50,28,500,413,169330,375
976,19,48,500,22,9020,375
989,19,29,500,24,9840,375
14,19,23,500,27,11070,375
16,19,25,500,29,11890,375
31,19,40,500,23,9430,375
43,19,55,500,29,11890,375
46,19,59,500,27,11070,375
52,27,66,500,50,20500,375
53,19,67,500,30,12300,375
56,19,70,500,33,13530,375
71,19,88,500,23,9430,375
79,19,100,500,27,11070,375
84,50,105,500,295,120950,375
85,34,106,500,93,38130,375
94,19,116,500,33,13530,375
101,6,107,500,52,21320,375
107,19,111,500,34,13940,375
115,19,54,500,21,8610,375
139,19,5,500,53,21730,375
140,6,23,500,136,55760,375
145,19,9,500,24,9840,375
188,50,2,500,420,172200,375
190,50,20,500,295,120950,375
199,19,19,500,24,9840,375
201,27,65,500,112,45920,375
202,19,95,500,54,22140,375
210,19,90,500,27,11070,375
225,19,68,500,31,12710,375
226,50,74,500,300,123000,375
228,50,49,500,340,139400,375
231,50,110,500,292,119720,375
232,19,42,500,26,10660,375
236,19,102,500,36,14760,375
240,19,32,500,46,18860,375
257,19,2,500,41,16810,375
263,19,84,500,34,13940,375
263,54,84,500,367,150470,375
268,19,97,500,30,12300,375
270,19,39,500,25,10250,375
271,27,49,500,52,21320,375
3054,38,100,15,347,4268,11
275,19,25,500,26,10660,375
276,54,38,500,313,128330,375
3058,38,99,15,161,1980,11
294,19,57,500,28,11480,375
3062,38,27,15,273,3358,11
3082,38,15,15,358,4403,11
320,50,74,500,268,109880,375
3091,38,3,15,395,4859,11
326,19,68,500,34,13940,375
3104,20,85,1000,105,86100,750
326,50,68,500,364,149240,375
3139,38,27,15,283,3481,11
334,19,79,500,29,11890,375
3142,20,11,1000,100,82000,750
335,19,107,500,19,7790,375
3146,38,41,15,191,2349,11
345,19,65,500,51,20910,375
3148,38,58,15,488,6002,11
349,19,62,500,57,23370,375
3154,38,97,15,356,4379,11
3167,38,72,15,161,1980,11
360,50,95,500,633,259530,375
3174,20,52,1000,118,96760,750
363,19,53,500,30,12300,375
3174,38,52,15,329,4047,11
365,19,59,500,33,13530,375
3175,20,87,1000,68,55760,750
372,19,16,500,17,6970,375
3192,38,92,15,364,4477,11
373,50,26,500,284,116440,375
3211,38,119,15,302,3715,11
388,19,28,500,25,10250,375
3212,38,43,15,193,2374,11
400,19,101,500,21,8610,375
3215,20,69,1000,71,58220,750
409,50,11,500,253,103730,375
3217,20,88,1000,138,113160,750
417,50,102,500,357,146370,375
3231,38,34,15,471,5793,11
3240,38,56,15,361,4440,11
422,19,27,500,24,9840,375
3242,20,7,1000,118,96760,750
427,19,57,500,31,12710,375
3243,20,10,1000,64,52480,750
442,50,49,500,363,148830,375
3246,20,80,1000,132,108240,750
448,19,114,500,29,11890,375
3266,20,76,1000,91,74620,750
448,50,114,500,322,132020,375
3270,38,18,15,207,2546,11
3274,38,68,15,287,3530,11
451,34,13,500,106,43460,375
3277,20,96,1000,81,66420,750
456,50,105,500,253,103730,375
3278,38,100,15,368,4526,11
3280,38,22,15,182,2239,11
469,19,60,500,21,8610,375
3281,20,26,1000,149,122180,750
478,19,79,500,31,12710,375
3283,38,53,15,301,3702,11
487,19,18,500,19,7790,375
3285,20,63,1000,258,211560,750
492,27,112,500,42,17220,375
3288,20,14,1000,87,71340,750
495,19,54,500,19,7790,375
3298,20,78,1000,52,42640,750
3305,20,32,1000,207,169740,750
497,6,23,500,130,53300,375
3307,20,66,1000,64,52480,750
1012,19,27,500,34,13940,375
3309,38,118,15,492,6052,11
1023,50,67,500,321,131610,375
3315,20,28,1000,160,131200,750
1025,19,104,500,28,11480,375
3317,38,55,15,353,4342,11
1030,19,16,500,22,9020,375
3319,20,91,1000,155,127100,750
3321,38,111,15,145,1784,11
1031,19,58,500,37,15170,375
3326,20,7,1000,122,100040,750
1032,50,81,500,482,197620,375
3342,20,78,1000,54,44280,750
1040,27,80,500,54,22140,375
3343,38,87,15,196,2411,11
1046,19,18,500,19,7790,375
3345,38,103,15,368,4526,11
3346,38,5,15,724,8905,11
1049,50,101,500,324,132840,375
3347,20,19,1000,132,108240,750
1050,50,110,500,373,152930,375
3351,20,86,1000,178,145960,750
1055,6,55,500,99,40590,375
3355,38,30,15,451,5547,11
1057,19,73,500,29,11890,375
1059,19,78,500,24,9840,375
3357,38,46,15,291,3579,11
3358,20,88,1000,147,120540,750
1060,54,89,500,304,124640,375
3362,20,39,1000,111,91020,750
1068,54,93,500,813,333330,375
3364,20,74,1000,134,109880,750
1100,19,38,500,28,11480,375
3370,20,42,1000,134,109880,750
3378,38,23,15,364,4477,11
1110,19,115,500,23,9430,375
3382,20,83,1000,73,59860,750
