PRODUCTID,CATEGORYID,LINEID,PRODUCTNAME,CATEGORYNAME,LINENAME
1,1,1,Pumpit Tennis Shoes,Tennis,Sports
2,1,1,Slamit Tennis Racket,Tennis,Sports
3,1,1,SuperBounce Tennis Balls,Tennis,Sports
4,1,1,Tennis cap,Tennis,Sports
5,2,1,Berta Golf Clubs,Golf,Sports
6,2,1,Clone Golf Clubs,Golf,Sports
7,2,1,Tees,Golf,Sports
8,2,1,Golf Balls,Golf,Sports
9,3,1,Tushuss Skis,Ski,Sports
10,3,1,No Name Skis,Ski,Sports
11,3,1,Ski Mask,Ski,Sports
12,3,1,Ski Boots,Ski,Sports
13,4,2,Pan-O Flat TVs,Home Theater,Electronics
14,4,2,Pan-O Flat TVs,Home Theater,Electronics
15,4,2,Pan-O Flat TVs,Home Theater,Electronics
16,4,2,Pan-O Flat TVs,Home Theater,Electronics
17,4,2,Sino CRT TVs,Home Theater,Electronics
18,4,2,Sino CRT TVs,Home Theater,Electronics
19,4,2,Sino CRT TVs,Home Theater,Electronics
20,4,2,Speaker System,Home Theater,Electronics
21,5,2,PC Systems,Computer,Electronics
22,5,2,Apple Systems,Computer,Electronics
23,5,2,Accessories,Computer,Electronics
24,6,2,Playstation,Consoles,Electronics
25,6,2,Gamecube,Consoles,Electronics
26,6,2,XBOX,Consoles,Electronics
27,7,2,Fusion Fridge,Appliances,Electronics
28,7,2,Fusion Fridge,Appliances,Electronics
29,7,2,Fusion Fridge,Appliances,Electronics
30,7,2,Washing Machine,Appliances,Electronics
31,7,2,Washing Machine,Appliances,Electronics
32,7,2,Washing Machine,Appliances,Electronics
33,7,2,Dishwasher,Appliances,Electronics
34,7,2,DustZero Wine Fridge,Appliances,Electronics
35,8,1,Descent Competition Bicycle,Bikes,Sports
36,8,1,Romeo Hybrid Bicycle,Bikes,Sports
37,8,1,Rappel Mountain Bicycle,Bikes,Sports
38,8,1,Crochet Cycling Gloves,Bikes,Sports
39,8,1,Triump Pro Cycling Helmet,Bikes,Sports
40,9,3,Nokia 7380,Nokia Handsets,Telecom
41,9,3,Nokia 7370,Nokia Handsets,Telecom
53,12,3,UBR 10012,Cisco Switches,Telecom
54,12,3,UBR 7100,Cisco Switches,Telecom
55,12,3,7600 router,Cisco Switches,Telecom
56,12,3,7200 router,Cisco Switches,Telecom
57,13,3,Moto Rokr,Motorola Handsets,Telecom
58,13,3,A 630,Motorola Handsets,Telecom
59,13,3,A 840,Motorola Handsets,Telecom
60,13,3,C 155,Motorola Handsets,Telecom
61,13,3,V 188,Motorola Handsets,Telecom
62,13,3,MPX 220,Motorola Handsets,Telecom
63,13,3,Razrblack,Motorola Handsets,Telecom
42,9,3,Nokia 7360,Nokia Handsets,Telecom
43,9,3,Nokia 9300,Nokia Handsets,Telecom
44,9,3,Nokia 6010,Nokia Handsets,Telecom
45,10,3,Samsung X475,Samsung Handsets,Telecom
46,10,3,Samsung e335,Samsung Handsets,Telecom
47,10,3,Samsung 495,Samsung Handsets,Telecom
48,11,3,Summit 200-24,Extreme Switches ,Telecom
49,11,3,Summit 200-48,Extreme Switches ,Telecom
50,11,3,Black diamond 6800,Extreme Switches ,Telecom
51,11,3,Black diamond 8800,Extreme Switches ,Telecom
52,12,3,SCE 200,Cisco Switches,Telecom
